"business_id","name","full_address","categories","city","state","review_count","neighborhoods"
"wqu7ILomIOPSduRwoWp4AQ","Denny's","2180 Greentree Rd
Pittsburgh, PA 15220","c(""Breakfast & Brunch"", ""American (Traditional)"", ""Restaurants"")","Pittsburgh","PA",7,"character(0)"
"_jsJFrAmFVPRio0eEVExbA","McDonald's","4557 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202","c(""Burgers"", ""Fast Food"", ""Restaurants"")","Pittsburgh","PA",4,"Bellevue"
"udZJ8YgsHdqtFDQkyPTV1Q","Arby's Roast Beef Restaurants","4260 Ohio River Blvd
Bellevue
Pittsburgh, PA 15202","Restaurants","Pittsburgh","PA",3,"Bellevue"
"ZL6DNzyenFm9Kpz6uADlNg","Pino's Contemporary Italian Restaurant & Wine Bar","6738 Reynolds St
Point Breeze
Pittsburgh, PA 15206","c(""Tapas/Small Plates"", ""Restaurants"", ""Italian"")","Pittsburgh","PA",46,"Point Breeze"
"OcTG-KzDleuRub-pb6JS3Q","Eddie's Pizza Haus","1744 Chislett St
Morningside
Pittsburgh, PA 15206","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",5,"Morningside"
"Y2p07YEC8xOsYTHWf0UxiA","Tasty Chinese Restaurant","213 S Highland Ave
Shadyside
Pittsburgh, PA 15206","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",15,"Shadyside"
"g58NW9q4F09wTMiI7EIjmg","Vento's Pizza","420 N Highland Ave
East Liberty
Pittsburgh, PA 15206","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",13,"East Liberty"
"Pu5uzlZ05pqVlx6LcZbfgw","Minutello's Restaurant & Lounge","226 Shady Ave
Shadyside
Pittsburgh, PA 15206","c(""Italian"", ""Pizza"", ""Restaurants"")","Pittsburgh","PA",7,"Shadyside"
"83_p9vIqOq1TUIf3_GD7bA","Enrico's Tazza D'oro Cafe & Espresso Bar","1125 N Highland Ave
Highland Park
Pittsburgh, PA 15206","c(""Food"", ""Coffee & Tea"", ""Cafes"", ""Restaurants"")","Pittsburgh","PA",92,"Highland Park"
"Ts4xsKPU7FNPPZRj-nRjIg","Buffalo Blues","216 S Highland Ave
Shadyside
Pittsburgh, PA 15206","c(""Bars"", ""Restaurants"", ""Sports Bars"", ""Barbeque"", ""Nightlife"")","Pittsburgh","PA",60,"Shadyside"
"UtWJ8NGMg-3z28s0RzlUoQ","China Garden","6393 Penn Ave
Shadyside
Pittsburgh, PA 15206","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",11,"Shadyside"
"bZcqORBnVApUA2-SEn7VEQ","McDonald's","6361 Penn Ave
Shadyside
Pittsburgh, PA 15206","c(""Burgers"", ""Fast Food"", ""Restaurants"")","Pittsburgh","PA",6,"Shadyside"
"B9C6j80ob0f1pwi1Cnnd1Q","Pizza Parma","217 S Highland Ave
Shadyside
Pittsburgh, PA 15206","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",23,"Shadyside"
"tvXTHj9V5sgRoeVJW_FiTg","Jimmy Tsang's Chinese Restaurant","5700 Centre Ave
Shadyside
Pittsburgh, PA 15206","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",12,"Shadyside"
"2SwC8wqpZC4B9iFVTgYT9A","Casbah","229 S Highland Ave
Shadyside
Pittsburgh, PA 15206","c(""Wine Bars"", ""Bars"", ""Mediterranean"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",199,"Shadyside"
"PzG0XmAmtXFs6Fdnubf41g","Quiet Storm Vegetarian & Vegan Cafe","5430 Penn Ave
Bloomfield
Pittsburgh, PA 15206","c(""Food"", ""Coffee & Tea"", ""Vegetarian"", ""Restaurants"")","Pittsburgh","PA",143,"Bloomfield"
"lHP5STO7aomlEQixH8m1aA","Pizza Perfectta","258 S Highland Ave
Shadyside
Pittsburgh, PA 15206","c(""Pizza"", ""Restaurants"")","Pittsburgh","PA",41,"Shadyside"
"-iVcmhjfq79QoTWzrb6pKg","East End Food Co-Op","7516 Meade St
Point Breeze
Pittsburgh, PA 15208","c(""Health Markets"", ""Food"", ""Vegetarian"", ""Restaurants"", ""Specialty Food"")","Pittsburgh","PA",60,"Point Breeze"
"l_Wey2YC6NvVUIH8vTygGg","Cafe Zinho","238 Spahr St
Shadyside
Pittsburgh, PA 15232","c(""Portuguese"", ""Mediterranean"", ""Restaurants"")","Pittsburgh","PA",54,"Shadyside"
"W7-Ybhe6JWJFXjcbmgvdyA","Great Wall Chinese Food","243 Brownsville Rd
Mt. Oliver
Pittsburgh, PA 15210","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",3,"Mt. Oliver"
"qUeBDN0D8SC93KeAHhiL-g","Alla Famiglia","804 E Warrington Ave
Allentown
Pittsburgh, PA 15210","c(""Restaurants"", ""Italian"")","Pittsburgh","PA",72,"Allentown"
"YXuvFMtygHPFEOEXgRtgLQ","No 1 China House","823 E Warrington Ave
Allentown
Pittsburgh, PA 15210","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",5,"Allentown"
"LltDzuzRbAJbSrqD4JH-3A","Hunan Wok Chinese Takeout","2158 Brownsville Rd
Carrick
Pittsburgh, PA 15210","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",7,"Carrick"
"VkqKyq09rDYMhFk5nElWWA","Bishop's Pizza","2104 Brownsville Rd
Carrick
Pittsburgh, PA 15210","c(""Food"", ""Ice Cream & Frozen Yogurt"", ""Pizza"", ""Restaurants"")","Pittsburgh","PA",4,"Carrick"
"QIJa5h2d65Bgh82zct7c7A","Frank & Shirley's Restaurant","2209 Saw Mill Run Blvd
Overbrook
Pittsburgh, PA 15210","c(""American (Traditional)"", ""Diners"", ""Restaurants"")","Pittsburgh","PA",11,"Overbrook"
"PTkChuI3GPCw-ZL1Iph76A","DiCarlo's Original Pizza","2080 Saw Mill Run Blvd
Brookline
Pittsburgh, PA 15210","c(""Italian"", ""Pizza"", ""Restaurants"")","Pittsburgh","PA",6,"Brookline"
"BbIh5NTizhV4Fq_mLmNkpg","Long John Silver's Inc","2417 Brownsville Rd
Carrick
Pittsburgh, PA 15210","c(""Seafood"", ""Restaurants"")","Pittsburgh","PA",3,"Carrick"
"IxQ1ATP_Wg_QujO9nywzcQ","Max's Allegheny Tavern","537 Suismon St
North Side
Pittsburgh, PA 15212","c(""German"", ""Pubs"", ""Bars"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",110,"North Side"
"TyIsuojeKcTb4Acfg7xqew","China Taste","630 E Ohio St
North Side
Pittsburgh, PA 15212","c(""Chinese"", ""Restaurants"")","Pittsburgh","PA",8,"North Side"
"oj8bMz76cKXQClpFTFNW9w","North Shore Deli","539 E Ohio St
North Side
Pittsburgh, PA 15212","c(""Delis"", ""Restaurants"")","Pittsburgh","PA",7,"North Side"
"k1A8pNspBPinGDivxkuDSA","Clark Bar & Grill","503 Martindale St
North Side
Pittsburgh, PA 15212","c(""Bars"", ""American (Traditional)"", ""Nightlife"", ""Restaurants"")","Pittsburgh","PA",7,"North Side"
