"user_id","name","average_stars","review_count","fans","yelping_since"
"RfBKeYFffFZ9qx6EcSzdaA","Phil",2.67,4,0,"2013-10"
"VpsFsXYiVGmsBprr9Onb0Q","Amanda",4,7,0,"2014-01"
"nVSpJQC1ULMKgiC8ItT6sQ","Robert",3.56,10,0,"2014-05"
"G_BvSxt71MqF_x4jgEyqSA","Shari",4.34,97,7,"2008-11"
"nuW7cTZhuSRupXeFbNMSRg","Joe",3.33,6,0,"2011-01"
"bfZuO79zf_FZS9B0YEmzBQ","L. D.",2.5,3,0,"2014-02"
"qvafrUlgfjm6kc8Zk5R8jQ","Shannon",3.68,68,2,"2011-02"
"U3rZpaV-1BmFmpp9HqjaGw","C",4,14,1,"2012-02"
"FHMDOxqzILoNKL_Dcc4liA","Mark",2.12,8,0,"2012-07"
"J4OYpyUfIx1XaaycPL5WbQ","Mike",3.5,2,0,"2014-08"
"JZOUsMVObzWbjgdqrIGm_g","Nan",5,1,0,"2014-12"
"Zg4iraRAwrGk2VWIJcH9Qg","S",3.36,14,0,"2012-04"
"Rj4Z9ycGIDd7lGTfV80SCQ","A",3.33,13,0,"2012-07"
"BgJTSqaLUMDpuNdz6HVrsw","Kimberly",3.35,20,0,"2010-02"
"DUfzJ-wFeU7Q9N5vlVlDhg","Joan",3,2,0,"2011-06"
"9SAP3EdIcXDTWdL85IbH9w","D",1,1,0,"2014-11"
"fW9VMWa83cyL4Edu4P07oQ","Jason",3.18,11,1,"2010-07"
"iZW0XWsFCS-7tRHbcJkeOQ","James",3.75,9,0,"2012-10"
"ssEwDhgp_GiX1Mhdi5PYOA","María",2,1,0,"2014-09"
"kvYqayP_snGzBQgzyl01zA","Jonathan",3.78,9,0,"2013-02"
"Iiso7khHDGWKOwGUR9S7FQ","Jason",4,7,0,"2014-01"
"sv6tpqP2oMgBS7nv3JW2lA","Michael",3.83,10,0,"2014-02"
"bLLHvtLpYN95wW6iuTp7_w","D",3.4,16,0,"2014-02"
"dkmtvwLUmfG4QPx6b1tduA","Jessica",5,1,0,"2014-11"
"pOin_X26M5k4qWjHGrcHSA","Benjamin",3.86,22,0,"2014-11"
"CQG_4xbYkr6132nkEpJpCQ","Anthony",4.36,11,0,"2011-11"
"Xq6QN6AnLnsAmuWECBujLg","Scott",4.2,5,0,"2013-01"
"B5WkNWDxZ-baWoQc6DBNHA","Jill",3.49,216,12,"2007-09"
"9KDyC5rOq20IjzCaN3xx2A","Liz",4,1,0,"2014-05"
"u5Sa-CikfIYa4WqrFXRrCw","Dan",3.92,12,1,"2013-01"
"k1btx_ToqOGT2Ykddkazdw","Bob",1,5,0,"2014-09"
"Q4mfzArHjsERKwYmygAFBQ","Peter",3.71,7,0,"2012-08"
"7IAgv9vuezOsZS7F8M_VHA","Louise",4,1,0,"2014-07"
"Bro_bJZ2Z55jHq1NGPCI8Q","Will",1,1,0,"2014-09"
"6ljakMnOVER2FSEUJAADIg","Alex",2,7,0,"2012-10"
"lwjM_UfZDy7HG3nWdF8FgQ","Galen",4,1,0,"2014-02"
"8KqDrum2GGV63hSE2wVKTw","Gary",4.86,7,0,"2013-10"
"xtv-RHo_mMjNq0oX7nRn7w","Amanda",4.04,51,1,"2014-04"
"_mZpKM0fXTbDZ-QjmnFZjg","Nick",4.71,15,0,"2014-07"
"sQ2Js4anMsB0iq7KoNGabg","Kayla",4.8,6,0,"2014-12"
"jX7oUbEJOCHB1C3N4oPtgQ","Brian",3.68,22,0,"2012-04"
"RdGUUb4lwCC0wHIMbL3dZg","Lauren",3.76,23,0,"2009-08"
"2HjQSdmPo3s5r1IrDfyQ6w","Jack",5,4,0,"2012-03"
"_9W04Jwk1--Ik4_CCLIPOg","Todd",2.5,4,0,"2012-09"
"_auaS9E0Y4auoRcvJ6kmLg","April",3.92,13,0,"2013-06"
"T4lS6ircC5VGkammHo-b3Q","Jc",3,3,0,"2013-05"
"_mToBObzitXvOwCvlJ0NNw","Patrick",3.33,3,0,"2013-10"
"cCRlJXZ8n0dUYnUNl1MN9w","Glenn",3.56,9,0,"2014-02"
"fI-0aEZHrt8HLIA4b6iIfw","John",5,1,0,"2014-11"
"pXaD0pbBD0PGqV9jKQm6JA","Noa",3.93,298,8,"2012-02"
"Ts-_uZhiGn7IUELw3LeYHA","Hawk",5,1,0,"2013-10"
"Zm9BUEVAA5Cxxrp0Kyq1xg","Tricia",4.01,88,4,"2005-02"
